tr_slug,en_slug,min_member,max_member,ar_name,tr_name,en_name,other_names,tk_number,t3kys_number,years,tr_link,en_link
akilli-ulasim-yarismasi,smart-transportation-competition,,6,مسابقة المواصلات الذّكيّة,Akıllı Ulaşım Yarışması,Smart Transportation Competition,,1,,2026,https://www.teknofest.org/tr/yarismalar/akilli-ulasim-yarismasi,https://www.teknofest.org/en/competitions/smart-transportation-competition
biyoteknoloji-inovasyon-yarismasi,biotechnology-innovation-competition,,10,مسابقة ابتكار التكنولوجيا الحيوية,Biyoteknoloji İnovasyon Yarışması,Biotechnology Innovation Competition,,17,11305,2026,https://www.teknofest.org/tr/yarismalar/biyoteknoloji-inovasyon-yarismasi,https://www.teknofest.org/en/competitions/biotechnology-innovation-competition
blokzincir-yarismasi,blockchain-competition,2,5,مسابقة البلوكتشين,Blokzincir Yarışması,Blockchain Competition,,387,11332,2026,https://www.teknofest.org/tr/yarismalar/blokzincir-yarismasi,https://www.teknofest.org/en/competitions/blockchain-competition
cevre-ve-enerji-teknolojileri-yarismasi,environment-and-energy-technologies-competition,,6,مسابقة تقنيّات البيئة والطّاقة,Çevre ve Enerji Teknolojileri Yarışması,Environment and Energy Technologies Competition,,48,,2026,https://www.teknofest.org/tr/yarismalar/cevre-ve-enerji-teknolojileri-yarismasi,https://www.teknofest.org/en/competitions/environment-and-energy-technologies-competition
cip-tasarim-yarismasi,chip-design-competition,,5,مسابقة تصميم الشرائح الإلكترونية,Çip Tasarım Yarışması,Chip Design Competition,,121,11299,2026,https://www.teknofest.org/tr/yarismalar/cip-tasarim-yarismasi,https://www.teknofest.org/en/competitions/chip-design-competition
dikey-inisli-roket-yarismasi,vertical-landing-rocket-competition,4,10,مسابقة الصاروخ ذو الهبوط العمودي,Dikey İnişli Roket Yarışması,Vertical Landing Rocket Competition,,87,11337,2026,https://www.teknofest.org/tr/yarismalar/dikey-inisli-roket-yarismasi,https://www.teknofest.org/en/competitions/vertical-landing-rocket-competition
egitim-teknolojileri-yarismasi,educational-technologies-competition,,6,مسابقة تقنيات التّعليم,Eğitim Teknolojileri Yarışması,Educational Technologies Competition,,20,,2025,https://www.teknofest.org/tr/yarismalar/egitim-teknolojileri-yarismasi,https://www.teknofest.org/en/competitions/educational-technologies-competition
engelsiz-yasam-teknolojileri-yarismasi,barrier-free-living-technologies-competition,,6,مسابقة تقنيات المعيشة الخالية من العوائق,Engelsiz Yaşam Teknolojileri Yarışması,Barrıer-Free Lıvıng Technologıes,,88,,2025,https://www.teknofest.org/tr/yarismalar/engelsiz-yasam-teknolojileri-yarismasi,https://www.teknofest.org/en/competitions/barrier-free-living-technologies-competition
finansal-teknolojiler-yarismasi,financial-technologies-competition,,5,مسابقة التكنولوجيا المالية,Finansal Teknolojiler Yarışması,Financial Technologies Competition,,385,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/finansal-teknolojiler-yarismasi,https://www.teknofest.org/en/competitions/financial-technologies-competition
hackmasters,hackmasters,,5,مسابقة الأمن السيبراني,HACKMASTERS,HACKMASTERS,,21,,2025,https://www.teknofest.org/tr/yarismalar/hackmasters,https://www.teknofest.org/en/competitions/hackmasters
hava-savunma-sistemleri-yarismasi,air-defense-systems-competition,3,15,مسابقة أنظمة الدفاع الجوي,Çelikkubbe Hava Savunma Sistemleri Yarışması,Air Defense Systems Competition,Hava Savunma Sistemleri Yarışması,389,11349,"2025, 2026",https://www.teknofest.org/tr/yarismalar/hava-savunma-sistemleri-yarismasi,https://www.teknofest.org/en/competitions/air-defense-systems-competition
helikopter-tasarim-yarismasi,helicopter-design-competition,,20,مسابقة تصميم الهيلوكبتر,Helikopter Tasarım Yarışması,Helicopter Design Competition,,22,,2025,https://www.teknofest.org/tr/yarismalar/helikopter-tasarim-yarismasi,https://www.teknofest.org/en/competitions/helicopter-design-competition
hyperloop-gelistirme-yarismasi,hyperloop-development-competition,8,25,مسابقة تطوير الهايبرلوب,Hyperloop Geliştirme Yarışması,Hyperloop Development Competition,,90,11471,"2025, 2026",https://www.teknofest.org/tr/yarismalar/hyperloop-gelistirme-yarismasi,https://www.teknofest.org/en/competitions/hyperloop-development-competition
insanlik-yararina-teknoloji-yarismasi,technology-for-humanity-competition,,6,مسابقة التكنولوجيا لصالح البشرية,İnsanlık Yararına Teknoloji Yarışması,Technology For Humanity Competition,,51,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/insanlik-yararina-teknoloji-yarismasi,https://www.teknofest.org/en/competitions/technology-for-humanity-competition
insansiz-deniz-araci-yarismasi,unmanned-surface-vehicle-competition,3,15,مسابقة المركبات البحرية غير المأهولة,İnsansız Deniz Aracı Yarışması,Unmanned Surface Vehicle Competition,,388,11359,"2025, 2026",https://www.teknofest.org/tr/yarismalar/insansiz-deniz-araci-yarismasi,https://www.teknofest.org/en/competitions/unmanned-surface-vehicle-competition
insansiz-su-alti-sistemleri-yarismasi,unmanned-underwater-systems-competition,3,15,مسابقة أنظمة الغواصات بدون إنسان,İnsansız Su Altı Sistemleri Yarışması,Unmanned Underwater Systems Competition,,52,11304,"2025, 2026",https://www.teknofest.org/tr/yarismalar/insansiz-su-alti-sistemleri-yarismasi,https://www.teknofest.org/en/competitions/unmanned-underwater-systems-competition
jet-motor-tasarim-yarismasi,jet-engine-design-competition,,10,مسابقة تصميم محرك نفّاث,Jet Motor Tasarım Yarışması,Jet Engine Design Competition,,23,11364,"2025, 2026",https://www.teknofest.org/tr/yarismalar/jet-motor-tasarim-yarismasi,https://www.teknofest.org/en/competitions/jet-engine-design-competition
kablosuz-haberlesme-yarismasi,wireless-communication-competition,2,6,مسابقة الاتصالات اللاسلكية,Kablosuz Haberleşme Yarışması,Wireless Communication Competition,,253,,2025,https://www.teknofest.org/tr/yarismalar/kablosuz-haberlesme-yarismasi,https://www.teknofest.org/en/competitions/wireless-communication-competition
kuantum-hackathon-yarismasi,quantum-hackathon-competition,,5,مسابقة الحوسبة الكموميّة,Kuantum Hackathon  Yarışması,Quantum Hackathon Competition,,418,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/kuantum-hackathon-yarismasi,https://www.teknofest.org/en/competitions/quantum-hackathon-competition
lise-ogrencileri-iklim-degisikligi-arastirma-projeleri-yarismasi,high-school-students-climate-change-research-projects-competition,,,,Lise Öğrencileri İklim Değişikliği Araştırma Projeleri Yarışması,High School Students Climate Change Research Projects Competition,,89,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/lise-ogrencileri-iklim-degisikligi-arastirma-projeleri-yarismasi,https://www.teknofest.org/en/competitions/high-school-students-climate-change-research-projects-competition
lise-ogrencileri-kutup-arastirma-projeleri-yarismasi,high-school-students-polar-research-projects-competition,,,,Lise Öğrencileri Kutup Araştırma Projeleri Yarışması,High School Students Polar Research Projects Competition,,25,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/lise-ogrencileri-kutup-arastirma-projeleri-yarismasi,https://www.teknofest.org/en/competitions/high-school-students-polar-research-projects-competition
liseler-arasi-efficiency-challenge-elektrikli-arac-yarislari,high-school-efficiency-challenge-electric-vehicle-competition,,,,Liseler Arası Efficiency Challenge Elektrikli Araç Yarışları,High School Efficiency Challenge Electric Vehicle Competition,,26,,2025,https://www.teknofest.org/tr/yarismalar/liseler-arasi-efficiency-challenge-elektrikli-arac-yarislari,https://www.teknofest.org/en/competitions/high-school-efficiency-challenge-electric-vehicle-competition
liseler-arasi-insansiz-hava-araclari-yarismasi,inter-high-school-unmanned-aerial-vehicles-competition,,,,Liseler Arası İnsansız Hava Araçları Yarışması,High School Unmanned Aerial Vehicles Competition,,27,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/liseler-arasi-insansiz-hava-araclari-yarismasi,https://www.teknofest.org/en/competitions/inter-high-school-unmanned-aerial-vehicles-competition
model-uydu-yarismasi,model-satellite-competition,3,6,مسابقة نموذج الأقمار الصناعية,Model Uydu Yarışması,Model Satellite Competition,,28,11382,"2025, 2026",https://www.teknofest.org/tr/yarismalar/model-uydu-yarismasi,https://www.teknofest.org/en/competitions/model-satellite-competition
onkolojide-3t-yarismasi,3t-in-oncology-competition,3,5,مسابقة تشخيص وعلاج الأورام,Onkolojide 3T Yarışması,3T in Oncology Competition,,682,11392,"2025, 2026",https://www.teknofest.org/tr/yarismalar/onkolojide-3t-yarismasi,https://www.teknofest.org/en/competitions/3t-in-oncology-competition
